ImageFile,Expression
Stimuli/BF16_HO.jpg,Happy
Stimuli/AF03_HO.jpg,Happy
Stimuli/BF15_HO.jpg,Happy
Stimuli/WF01_HO.jpg,Happy
Stimuli/AF07_HO.jpg,Happy
Stimuli/AF06_HO.jpg,Happy
Stimuli/HF04_HO.jpg,Happy
Stimuli/AF08_HO.jpg,Happy
Stimuli/AM02_HO.jpg,Happy
Stimuli/AM03_HO.jpg,Happy
Stimuli/HM11_HO.jpg,Happy
Stimuli/AM11_HO.jpg,Happy
Stimuli/HM09_HO.jpg,Happy
Stimuli/BM03_HO.jpg,Happy
Stimuli/BM18_HO.jpg,Happy
Stimuli/BM04_HO.jpg,Happy
Stimuli/WM05_HO.jpg,Happy
Stimuli/BF01_AO.jpg,Angry
Stimuli/AF01_AO.jpg,Angry
Stimuli/HF05_AO.jpg,Angry
Stimuli/WF10_AO.jpg,Angry
Stimuli/WF15_AO.jpg,Angry
Stimuli/BF13_AO.jpg,Angry
Stimuli/BF18_AO.jpg,Angry
Stimuli/HF07_AO.jpg,Angry
Stimuli/HM08_AO.jpg,Angry
Stimuli/HM10_AO.jpg,Angry
Stimuli/WM10_AO.jpg,Angry
Stimuli/WM02_AO.jpg,Angry
Stimuli/AM05_AO.jpg,Angry
Stimuli/AM06_AO.jpg,Angry
Stimuli/HM05_AO.jpg,Angry
Stimuli/WM13_AO.jpg,Angry
Stimuli/HF08_SUR.jpg,Surprised
Stimuli/BF04_SUR.jpg,Surprised
Stimuli/BF10_SUR.jpg,Surprised
Stimuli/WF13_SUR.jpg,Surprised
Stimuli/BF20_SUR.jpg,Surprised
Stimuli/BF12_SUR.jpg,Surprised
Stimuli/HF02_SUR.jpg,Surprised
Stimuli/AF12_SUR.jpg,Surprised
Stimuli/BM02_SUR.jpg,Surprised
Stimuli/AM04_SUR.jpg,Surprised
Stimuli/HM02_SUR.jpg,Surprised
Stimuli/BM05_SUR.jpg,Surprised
Stimuli/AM07_SUR.jpg,Surprised
Stimuli/WM03_SUR.jpg,Surprised
Stimuli/BM09_SUR.jpg,Surprised
Stimuli/AM09_SUR.jpg,Surprised
Stimuli/WF14_SUR.jpg,Surprised
Stimuli/WF03_SUR.jpg,Surprised
Stimuli/HF01_SUR.jpg,Surprised
Stimuli/BF09_SUR.jpg,Surprised
Stimuli/WF12_SUR.jpg,Surprised
Stimuli/WF05_SUR.jpg,Surprised
Stimuli/AF11_SUR.jpg,Surprised
Stimuli/WF07_SUR.jpg,Surprised
Stimuli/AM01_SUR.jpg,Surprised
Stimuli/BM14_SUR.jpg,Surprised
Stimuli/BM15_SUR.jpg,Surprised
Stimuli/AM08_SUR.jpg,Surprised
Stimuli/WM04_SUR.jpg,Surprised
Stimuli/BM17_SUR.jpg,Surprised
Stimuli/BM11_SUR.jpg,Surprised
Stimuli/WM12_SUR.jpg,Surprised
Stimuli/WM07_SUR.jpg,Surprised
Stimuli/WF08_AO.jpg,Angry
Stimuli/AF05_AO.jpg,Angry
Stimuli/WF06_AO.jpg,Angry
Stimuli/HF03_AO.jpg,Angry
Stimuli/WF04_AO.jpg,Angry
Stimuli/AF10_AO.jpg,Angry
Stimuli/BF14_AO.jpg,Angry
Stimuli/AF09_AO.jpg,Angry
Stimuli/BF05_AO.jpg,Angry
Stimuli/HM06_AO.jpg,Angry
Stimuli/WM08_AO.jpg,Angry
Stimuli/AM10_AO.jpg,Angry
Stimuli/WM11_AO.jpg,Angry
Stimuli/WM06_AO.jpg,Angry
Stimuli/BM01_AO.jpg,Angry
Stimuli/WM09_AO.jpg,Angry
Stimuli/BM07_AO.jpg,Angry
Stimuli/AF02_HO.jpg,Happy
Stimuli/BF17_HO.jpg,Happy
Stimuli/WF02_HO.jpg,Happy
Stimuli/HF09_HO.jpg,Happy
Stimuli/WF11_HO.jpg,Happy
Stimuli/HF10_HO.jpg,Happy
Stimuli/BF03_HO.jpg,Happy
Stimuli/BF07_HO.jpg,Happy
Stimuli/BF19_HO.jpg,Happy
Stimuli/HM01_HO.jpg,Happy
Stimuli/BM08_HO.jpg,Happy
Stimuli/BM12_HO.jpg,Happy
Stimuli/BM16_HO.jpg,Happy
Stimuli/HM03_HO.jpg,Happy
Stimuli/HM07_HO.jpg,Happy
Stimuli/BM13_HO.jpg,Happy
Stimuli/superimposed.jpg,Superimposed
Stimuli/superimposed.jpg,Superimposed
Stimuli/superimposed.jpg,Superimposed
Stimuli/superimposed.jpg,Superimposed
Stimuli/superimposed.jpg,Superimposed
Stimuli/superimposed.jpg,Superimposed
Stimuli/superimposed.jpg,Superimposed
Stimuli/superimposed.jpg,Superimposed
Stimuli/superimposed.jpg,Superimposed
